"Sponsor IRN","Sponsor Name","School IRN","School Name","First Year of Operation","School County","School Type 1","School Type 2","School Type 3","Percent Minority","Percent Economically Disadvantaged","Percent Student with Disabilities","Percent Limited English Proficient","2012 4 Year Graduation Rate","4 Year Graduation Rating","2012 5 Year Graduation Rate  ","5 Year Graduation Rating","6 Year Graduation Rate  ","6 Year Graduation Rating","7 Year Graduation Rate","7 Year Graduation Rating","8 Year Graduation Rate","8 Year Graduation Rating","2013 Assessment Passage Rate","Assessment Passage Rating","2013 Annual Measurable Objectives Points","Annual Measurable Objectives Rating","Growth Rate","Growth Rating","Student Outcomes","Overall Rating","Report Card Link"
"044453","Newark City                                                 ","000162","Newark Digital Academy                                      ","FY04","Licking                       ","Conversion                                                                                                                                                                                                                                                     ","Virtual School","Dropout Recovery 1","0.11674057243375988","0.678070143291677","0.155788470700333","0.0","29.1","Coming in 2014","42.1","Coming in 2014","44.6","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","81.3","Coming in 2014","35.1","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044487","New Philadelphia City                                       ","000241","Quaker Digital Academy                                      ","FY04","Tuscarawas                    ","Conversion                                                                                                                                                                                                                                                     ","Virtual School","Dropout Recovery 1","0.10011505760819824","0.489206629598185","0.0775264119633187","NR","33.1","Coming in 2014","37.1","Coming in 2014","42.5","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","86.4","Coming in 2014","38.2","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044602","Oregon City                                                 ","008289","Eagle Learning Center                                       ","FY07","Lucas                         ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","NR","NR","NR","0.0","6.9","Coming in 2014","11.0","Coming in 2014","8.0","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","57.6","Coming in 2014","35.6","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044909","Toledo City                                                 ","000125","Polly Fox Academy Community School                          ","FY04","Lucas                         ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.827219564061669","0.961616161616162","0.2311004784689","0.0","39.7","Coming in 2014","29.6","Coming in 2014","31.3","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","40.0","Coming in 2014","24.7","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044909","Toledo City                                                 ","000130","Phoenix Academy Community School                            ","FY04","Lucas                         ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.5920934769194022","0.450275693214165","0.213955849274439","0.0","12.7","Coming in 2014","18.6","Coming in 2014","13.8","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","59.0","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"044966","Van Wert City                                               ","011479","LifeLinks Community School                                  ","FY11","Van Wert                      ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","NR","0.807926664869237","0.378754381234834","0.0","30.8","Coming in 2014","33.3","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","40.0","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"045161","Youngstown City Schools                                     ","008251","Mahoning Valley Opportunity Center                          ","FY07","Mahoning                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8978882651697409","0.989530428584158","0.239686358371202","0.0","24.1","Coming in 2014","32.8","Coming in 2014","27.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","35.7","Coming in 2014","36.9","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"045179","Zanesville City                                             ","009148","Zanesville Community School                                 ","FY08","Muskingum                     ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","0.33251533742331335","NR","0.290695296523517","0.0","64.7","Coming in 2014","74.4","Coming in 2014","74.3","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","53.3","Coming in 2014","19.5","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"045534","Mount Gilead Exempted Village                               ","148981","Tomorrow Center                                             ","FY03","Morrow                        ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & Special Education","NR","0.872030169704588","0.555373978629793","0.0","NC","Coming in 2014","42.9","Coming in 2014","31.3","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"045591","Rittman Exempted Village                                    ","000640","Rittman Academy                                             ","FY06","Wayne                         ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","NR","0.480714581675644","NR","0.0","9.1","Coming in 2014","7.1","Coming in 2014","22.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"045930","Auglaize County ESC                                         ","000288","Auglaize County Educational Academy                         ","FY05","Allen                         ","Startup                                                                                                                                                                                                                                                        ","Virtual School","Dropout Recovery 2","NR","0.44664061263093","0.295458955370461","0.0","50.0","Coming in 2014","61.5","Coming in 2014","54.3","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","85.7","Coming in 2014","33.3","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"046805","Margaretta Local                                            ","012867","Townsend North Community School                             ","FY12","Erie                          ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","0.25009377664109145","0.799607843137255","0.208780903665814","0.0","35.0","Coming in 2014","9.8","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","40.0","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"046896","Pickerington Local                                          ","012497","Pickerington Community School                               ","FY12","Fairfield                     ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","0.4551760586642005","0.0","0.15214375371606","0.0","0.0","Coming in 2014","NC","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","76.5","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"046938","ESC of Central Ohio                                         ","000912","Early College Academy                                       ","FY07","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9123575810692377","0.803133216476775","NR","0.0","25.7","Coming in 2014","42.8","Coming in 2014","57.9","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","38.5","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"046953","Hamilton Local                                              ","000197","Hamilton Alternative Academy                                ","FY04","Franklin                      ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","0.1883699851888805","0.269780251028898","NR","0.0","29.0","Coming in 2014","32.3","Coming in 2014","23.1","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","14.5","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"046979","Groveport Madison Local                                     ","012000","Cruiser Academy                                             ","FY11","Franklin                      ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","0.554061440909588","0.472750628621406","0.089947523778288","NR","48.5","Coming in 2014","46.7","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","71.9","Coming in 2014","67.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"047001","Reynoldsburg City                                           ","011956","Everest High School                                         ","FY11","Franklin                      ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","0.5191977366878852","0.215822976659594","0.100687076891987","NR","48.8","Coming in 2014","65.1","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","78.1","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048199","ESC of Lake Erie West                                       ","000131","Glass City Academy                                          ","FY04","Lucas                         ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8832309706000805","0.0","0.169200563834072","0.0","21.7","Coming in 2014","16.2","Coming in 2014","30.6","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","22.4","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048199","ESC of Lake Erie West                                       ","000481","P.A.C.E. High School                                        ","FY05","Hamilton                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9266031657744097","0.841572226471065","NR","0.0","8.7","Coming in 2014","10.6","Coming in 2014","21.1","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","15.4","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048280","Mahoning County ESC                                         ","009996","Mahoning County High School                                 ","FY09","Mahoning                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8819207152583303","0.93962438660946","0.15291729825553","0.0","33.3","Coming in 2014","41.2","Coming in 2014","NC","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","13.6","Coming in 2014","5.8","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048280","Mahoning County ESC                                         ","148999","Mahoning Unlimited Classroom                                ","FY04","Mahoning                      ","Startup                                                                                                                                                                                                                                                        ","Virtual School","Dropout Recovery 2","0.23036789297658858","0.634419493549928","0.272718585762064","0.0","17.4","Coming in 2014","25.4","Coming in 2014","29.4","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","81.3","Coming in 2014","1.1","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048421","Pleasant Local                                              ","011436","Pleasant Education Academy                                  ","FY11","Marion                        ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","NR","0.517830001169181","NR","0.0","50.0","Coming in 2014","NC","Coming in 2014","NA","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","35.7","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048660","Montgomery County ESC                                       ","143115","Mound Street IT Careers Academy                             ","FY03","Montgomery                    ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.7249479631281588","0.889087124591139","0.190603627713351","NR","15.3","Coming in 2014","25.0","Coming in 2014","29.4","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","63.6","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048660","Montgomery County ESC                                       ","143123","Mound Street Military Careers Academy                       ","FY03","Montgomery                    ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.791323980003225","0.910175778100306","0.229640380583777","NR","7.5","Coming in 2014","25.0","Coming in 2014","31.3","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048660","Montgomery County ESC                                       ","143131","Mound Street Health Careers Acadmy                          ","FY03","Montgomery                    ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8058894230769229","0.910620629370629","0.164117132867133","NR","9.0","Coming in 2014","29.9","Coming in 2014","30.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","72.7","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048793","Cardington-Lincoln Local                                    ","151076","Cardington Lincoln Local Digital Academy                    ","FY05","Morrow                        ","Conversion                                                                                                                                                                                                                                                     ","Virtual School","Dropout Recovery 1","NR","0.498855920999211","0.312971711371458","0.0","22.7","Coming in 2014","18.8","Coming in 2014","50.0","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048843","Franklin Local                                              ","148932","Franklin Local Community School                             ","FY04","Muskingum                     ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1","NR","0.864737550471063","0.186675639300135","0.0","45.8","Coming in 2014","9.5","Coming in 2014","61.1","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","63.6","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"048850","Maysville Local                                             ","149328","Foxfire High School                                         ","FY04","Muskingum                     ","Conversion                                                                                                                                                                                                                                                     ","Site Based","Dropout Recovery 1 & 2","0.14582416276367194","0.742872266436595","0.301738519914075","0.0","69.9","Coming in 2014","59.5","Coming in 2014","39.1","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","84.5","Coming in 2014","58.3","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"050401","Warren County ESC                                           ","000282","Greater Ohio Virtual School                                 ","FY05","Warren                        ","Conversion                                                                                                                                                                                                                                                     ","Virtual School","Dropout Recovery 2","0.09615141246115548","0.478521309954019","0.251669783596046","0.0","43.5","Coming in 2014","48.2","Coming in 2014","2.0","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","60.0","Coming in 2014","36.2","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"065268","Tri-Rivers                                                  ","143305","Treca Digital Academy                                       ","FY02","Marion                        ","Startup                                                                                                                                                                                                                                                        ","Virtual School","Dropout Recovery 2","0.1803025074976553","0.701991592774752","0.176549632662693","NR","17.3","Coming in 2014","20.2","Coming in 2014","21.3","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","71.0","Coming in 2014","5.7","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","000664","Life Skills Center of Columbus Southeast                    ","FY05","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8404350269412584","0.813659052593303","0.190043304353575","NR","8.0","Coming in 2014","9.6","Coming in 2014","8.8","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","30.4","Coming in 2014","57.9","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","000813","Life Skills Center of Dayton                                ","FY06","Montgomery                    ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8510776662950575","0.874814195466369","0.238247863247863","0.0","17.6","Coming in 2014","21.8","Coming in 2014","15.9","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","26.1","Coming in 2014","33.2","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","008282","Life Skills Center of Columbus North                        ","FY07","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.7263649232888242","0.827677239162873","0.195278723648468","NR","6.2","Coming in 2014","14.3","Coming in 2014","8.1","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","7.7","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","132795","Life Skills Center-Springfield                              ","FY02","Clark                         ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.39868417949866747","0.791661753955715","0.254321220553211","0.0","2.7","Coming in 2014","11.1","Coming in 2014","13.6","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","30.0","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","132803","Life Skills Center-Middletown                               ","FY02","Butler                        ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.28473426860007567","0.78004390027564","0.329701174977966","NR","16.5","Coming in 2014","18.8","Coming in 2014","18.5","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","33.3","Coming in 2014","50.4","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","133488","Life Skills Of Trumbull County                              ","FY01","Trumbull                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.342000048462527","0.823523710291017","0.287625093896145","0.0","7.1","Coming in 2014","11.1","Coming in 2014","13.5","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","32.0","Coming in 2014","46.5","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","133835","Invictus High School                                        ","FY00","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.7901877346683355","0.55909887359199","0.192240300375469","0.0","4.2","Coming in 2014","8.4","Coming in 2014","6.5","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","21.4","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","133868","Towpath Trail High School                                   ","FY00","Summit                        ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.8324239609937313","0.88623171581147","0.323397956814488","0.0","8.0","Coming in 2014","9.5","Coming in 2014","13.4","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","70.6","Coming in 2014","62.9","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","142919","Life Skills Center of Elyria                                ","FY02","Lorain                        ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.49331437662909167","0.757591144511019","0.212078128702481","0.0","1.0","Coming in 2014","7.8","Coming in 2014","4.8","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","151183","Lake Erie International High School                         ","FY03","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.4816159928006686","0.852349424696278","0.211126823937777","NR","1.4","Coming in 2014","3.3","Coming in 2014","2.9","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","58.8","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","151191","Life Skills Center Of Summit County                         ","FY04","Summit                        ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.5066213626067256","0.750784108729744","0.249869315211709","0.0","6.5","Coming in 2014","16.5","Coming in 2014","9.7","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","45.5","Coming in 2014","0.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"083246","St Aloysius Orphanage                                       ","151209","Life Skills Of Northeast Ohio                               ","FY04","Cuyahoga                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.9934431143770894","0.750973522999353","0.172269591774628","0.0","3.9","Coming in 2014","10.1","Coming in 2014","13.6","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","40.7","Coming in 2014","15.0","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"123257","North Central Ohio ESC                                      ","000743","Pschtecin Public School                                     ","FY06","Franklin                      ","Startup                                                                                                                                                                                                                                                        ","Site Based","Dropout Recovery 2","0.6154039979842095","0.994204602721317","0.208802284562406","0.0","4.5","Coming in 2014","16.7","Coming in 2014","23.5","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","NR","Coming in 2014","NR","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
"123521","Mid-Ohio ESC                                                ","149047","Goal Digital Academy                                        ","FY03","Morrow                        ","Startup                                                                                                                                                                                                                                                        ","Virtual School","Dropout Recovery 2","0.11601232221275468","0.787372698527752","0.253062168113697","NR","23.1","Coming in 2014","20.0","Coming in 2014","25.0","Coming in 2014","Coming in 2014","Coming in 2014","Coming in 2015","Coming in 2015","43.2","Coming in 2014","36.6","Coming in 2014","Coming in 2015","Coming in 2015","Coming in 2014","Coming in 2015","Dropout Recovery Report Cards"
