"Sponsor IRN","Sponsor Name","School Year","N of Schools - General Education Schools","N of Schools - Special Education Schools","N of Schools - Dropout Recovery Schools","Sponsors Aggregate PI Score - Based on General Education Community Schools","Sponsor Prohibited from Sponsoring Additional Schools in School Year 			2014-2015 Due to Poor Academic Performance and/or Noncompliance with 			Reporting Requirements","Overall Value-Added Grade - General Education Schools - A","Overall Value-Added Grade - General Education Schools - B","Overall Value-Added Grade - General Education Schools - C","Overall Value-Added Grade - General Education Schools - D","Overall Value-Added Grade - General Education Schools - F","Overall Value-Added Grade - General Education Schools - NA","Overall Value-Added Grade - Special Education Schools - A","Overall Value-Added Grade - Special Education Schools - B","Overall Value-Added Grade - Special Education Schools - C","Overall Value-Added Grade - Special Education Schools - D","Overall Value-Added Grade - Special Education Schools - F","Overall Value-Added Grade - Special Education Schools - NA","Performance Index Grade - General Education Schools - A","Performance Index Grade - General Education Schools - B","Performance Index Grade - General Education Schools - C","Performance Index Grade - General Education Schools - D","Performance Index Grade - General Education Schools - F","Performance Index Grade - General Education Schools - NA","Performance Index Grade - Special Education Schools - A","Performance Index Grade - Special Education Schools - B","Performance Index Grade - Special Education Schools - C","Performance Index Grade - Special Education Schools - D","Performance Index Grade - Special Education Schools - F","Performance Index Grade - Special Education Schools - NA","Indicators Met Grade - General Education Schools - A","Indicators Met Grade - General Education Schools - B","Indicators Met Grade - General Education Schools - C","Indicators Met Grade - General Education Schools - D","Indicators Met Grade - General Education Schools - F","Indicators Met Grade - General Education Schools - NA","Indicators Met Grade - Special Education Schools - A","Indicators Met Grade - Special Education Schools - B","Indicators Met Grade - Special Education Schools - C","Indicators Met Grade - Special Education Schools - D","Indicators Met Grade - Special Education Schools - F","Indicators Met Grade - Special Education Schools - NA","AMO Grade - General Education Schools - A","AMO Grade - General Education Schools - B","AMO Grade - General Education Schools - C","AMO Grade - General Education Schools - D","AMO Grade - General Education Schools - F","AMO Grade - General Education Schools - NA","AMO Grade - Special Education Schools - A","AMO Grade - Special Education Schools - B","AMO Grade - Special Education Schools - C","AMO Grade - Special Education Schools - D","AMO Grade - Special Education Schools - F","AMO Grade - Special Education Schools - NA","Four Year Graduation Grade - General Education Schools - A","Four Year Graduation Grade - General Education Schools - B","Four Year Graduation Grade - General Education Schools - C","Four Year Graduation Grade - General Education Schools - D","Four Year Graduation Grade - General Education Schools - F","Four Year Graduation Grade - General Education Schools - NA","Four Year Graduation Grade - Special Education Schools - A","Four Year Graduation Grade - Special Education Schools - B","Four Year Graduation Grade - Special Education Schools - C","Four Year Graduation Grade - Special Education Schools - D","Four Year Graduation Grade - Special Education Schools - F","Four Year Graduation Grade - Special Education Schools - NA","Five Year Graduation Grade - General Education Schools - A","Five Year Graduation Grade - General Education Schools - B","Five Year Graduation Grade - General Education Schools - C","Five Year Graduation Grade - General Education Schools - D","Five Year Graduation Grade - General Education Schools - F","Five Year Graduation Grade - General Education Schools - NA","Five Year Graduation Grade - Special Education Schools - A","Five Year Graduation Grade - Special Education Schools - B","Five Year Graduation Grade - Special Education Schools - C","Five Year Graduation Grade - Special Education Schools - D","Five Year Graduation Grade - Special Education Schools - F","Five Year Graduation Grade - Special Education Schools - NA"
"043489","Akron City","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"045930","Auglaize County ESC                                         ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"062893","Bowling Green State University","2012-2013","1.0","0.0","0.0","104.46","Permitted","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","1.0","0.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","1.0","0.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","1.0","0.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","1.0","0.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA"
"000862","Buckeye Community Hope Foundation","2012-2013","40.0","2.0","6.0","81.16","Permitted","0.3846","0.1795","0.1795","0.0769","0.1282","0.0033","0.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0513","0.3077","0.641","0.0","0.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.1538","0.7949","0.0513","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0513","0.0","0.0","0.8718","0.0769","0.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.025","0.975","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.025","0.975","0.0","0.0","0.0","0.0","0.0","1.0"
"048793","Cardington-Lincoln Local                                    ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"043752","Cincinnati City                                             ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"043786","Cleveland Municipal","2012-2013","7.0","0.0","1.0","98.77","Permitted","0.42857142857142855","0.14285714285714285","0.14285714285714285","0.0","0.0","0.2857142857142857","NA","NA","NA","NA","NA","NA","0.0","0.7142857142857143","0.14285714285714285","0.0","0.0","0.14285714285714285","NA","NA","NA","NA","NA","NA","0.5714285714285714","0.0","0.0","0.2857142857142857","0.0","0.14285714285714285","NA","NA","NA","NA","NA","NA","0.2857142857142857","0.0","0.0","0.0","0.42857142857142855","0.2857142857142857","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA"
"043828","Coshocton City                                              ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"043836","Cuyahoga Falls City                                         ","2012-2013","0.0","0.0","1.0","NA","Prohibited","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"043844","Dayton City","2012-2013","1.0","0.0","1.0","98.28","Permitted","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA"
"050765","Dept Of Education","2012-2013","5.0","0.0","0.0","NA","NA","0.2","0.0","0.2","0.2","0.0","0.4","NA","NA","NA","NA","NA","NA","0.0","0.0","0.2","0.4","0.2","0.2","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.8","0.2","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.8","0.2","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA"
"007991","Educational Resource Consultants of Ohio","2012-2013","15.0","0.0","9.0","82.97","Permitted","0.3333333333333333","0.13333333333333333","0.26666666666666666","0.13333333333333333","0.0","0.13333333333333333","NA","NA","NA","NA","NA","NA","0.0","0.2","0.13333333333333333","0.4666666666666667","0.13333333333333333","0.06666666666666667","NA","NA","NA","NA","NA","NA","0.0","0.06666666666666667","0.13333333333333333","0.0","0.6","0.2","NA","NA","NA","NA","NA","NA","0.13333333333333333","0.06666666666666667","0.0","0.0","0.6666666666666666","0.13333333333333333","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.26666666666666666","0.7333333333333333","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.3333333333333333","0.6666666666666666","NA","NA","NA","NA","NA","NA"
"046938","ESC of Central Ohio","2012-2013","6.0","1.0","1.0","84.68","Permitted","0.16666666666666666","0.0","0.3333333333333333","0.0","0.0","0.5","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.3333333333333333","0.5","0.0","0.16666666666666666","0.0","0.0","1.0","0.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.6666666666666666","0.16666666666666666","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8333333333333334","0.16666666666666666","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.3333333333333333","0.16666666666666666","0.5","0.0","0.0","0.0","0.0","1.0","0.0"
"048199","ESC of Lake Erie West","2012-2013","34.0","26.0","2.0","85.67","Permitted","0.35294117647058826","0.11764705882352941","0.08823529411764706","0.17647058823529413","0.17647058823529413","0.08823529411764706","0.038461538461538464","0.07692307692307693","0.34615384615384615","0.15384615384615385","0.15384615384615385","0.23076923076923078","0.058823529411764705","0.23529411764705882","0.23529411764705882","0.47058823529411764","0.0","0.0","0.0","0.0","0.0","0.9230769230769231","0.07692307692307693","0.0","0.20588235294117646","0.029411764705882353","0.08823529411764706","0.029411764705882353","0.6470588235294118","0.0","0.0","0.0","0.0","0.0","0.9230769230769231","0.07692307692307693","0.20588235294117646","0.029411764705882353","0.058823529411764705","0.029411764705882353","0.6470588235294118","0.029411764705882353","0.0","0.0","0.0","0.0","0.7692307692307693","0.23076923076923078","0.0","0.0","0.0","0.029411764705882353","0.20588235294117646","0.7647058823529411","0.0","0.0","0.0","0.038461538461538464","0.23076923076923078","0.7307692307692307","0.0","0.029411764705882353","0.029411764705882353","0.08823529411764706","0.08823529411764706","0.7647058823529411","0.0","0.0","0.038461538461538464","0.038461538461538464","0.19230769230769232","0.7307692307692307"
"043968","Fairborn City                                               ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"049197","Field Local","2012-2013","1.0","0.0","0.0","101.87","Permitted","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA"
"043984","Findlay City                                                ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"048843","Franklin Local                                              ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"046961","Gahanna-Jefferson City","2012-2013","1.0","0.0","0.0","77.57","Permitted","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","1.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA"
"046193","Graham Local","2012-2013","1.0","0.0","0.0","91.96","Permitted","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","1.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA"
"046979","Groveport Madison Local                                     ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"046953","Hamilton Local                                              ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"047480","Hardin County ESC","2012-2013","1.0","0.0","0.0","77.95","Permitted","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA"
"044156","Jackson City                                                ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"008303","Kids Count of Dayton, Inc.","2012-2013","2.0","4.0","2.0","85.19","Permitted","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.25","0.5","0.0","0.25","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.0","0.75","0.25","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.25","0.5","0.25","0.0","0.5","0.0","0.0","0.5","0.0","0.0","0.0","0.25","0.0","0.0","0.75"
"044198","Lakewood City                                               ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"047993","Lakewood Local","2012-2013","1.0","0.0","0.0","71.85","Prohibited","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA"
"044206","Lancaster City                                              ","2012-2013","0.0","0.0","2.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"044222","Lima City","2012-2013","1.0","0.0","0.0","88.1","Permitted","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","1.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA"
