"IRN","DISTRICT","COUNTY","COUNTY NUMBER","DISTRICT TYPE","CALCULATED OPPORTUNITY GRANT","CAPPED OPPORTUNITY GRANT","CALCULATED TARGETED ASSISTANCE","CAPPED TARGETED ASSISTANCE","CALCULATED K-3 LITERACY FUNDING","CAPPED K-3 LITERACY FUNDING","CALCULATED ECONOMIC DISADVANTAGED FUNDING","CAPPED ECONOMIC DISADVANTAGED FUNDING","CALCULATED LIMITED ENGLISH PROFICIENCY FUNDING","CAPPED LIMITED ENGLISH PROFICIENCY FUNDING","CALCULATED GIFTED EDUCATION FUNDING","CAPPED GIFTED EDUCATION FUNDING","CALCULATED TRANSPORTATION FUNDING","CAPPED TRANSPORTATION FUNDING","CALCULATED SPECIAL EDUCATION ADDITIONAL FUNDING","CAPPED SPECIAL EDUCATION ADDITIONAL FUNDING","CALCULATED CAREER TECH EDUCATION FUNDING","CAPPED CAREER TECH EDUCATION FUNDING","CALCULATED FUNDING BEFORE GUARANTEE","CAPPED FUNDING BEFORE GUARANTEE","TRANSITIONAL GUARANTEE BASE","TRANSITIONAL GUARANTEE","TOTAL CALCULATED STATE FUNDING","PRESCHOOL SPECIAL EDUCATION FUNDING","SPECIAL EDUCATION TRANSPORTATION FUNDING","TOTAL ADDITIONAL AID ITEMS","EDUCATION SERVICE CENTER TRANSFER","OPEN ENROLLMENT ADJUSTMENT","COMMUNITY SCHOOL TRANSFER","STEM SCHOOL TRANSFER","SCHOLARSHIP TRANSFER","OTHER ADJUSTMENTS","TOTAL TRANSFERS & ADJUSTMENTS","NET STATE FOUNDATION FUNDING","STATEWIDE TOTAL ADM","STATEWIDE FORMULA ADM","STATEWIDE ECONOMIC DISADVANTAGED RATIO","STATEWIDE MEDIAN INCOME","STATEWIDE 3 YEAR AVERAGE VALUATION","STATEWIDE 3 YEAR AVERAGE ADJUSTED VALUATION","STATEWIDE 3 YEAR FEDERAL GROSS INCOME","ADJUSTED TOTAL ADM","TOTAL ADM","TUITION KINDERGARTEN ADM","JOINTURE JVS ADM","FORMULA ADM","CATEGORY 1 SPECIAL EDUCATION ADM","CATEGORY 2 SPECIAL EDUCATION ADM","CATEGORY 3 SPECIAL EDUCATION ADM","CATEGORY 4 SPECIAL EDUCATION ADM","CATEGORY 5 SPECIAL EDUCATION ADM","CATEGORY 6 SPECIAL EDUCATION ADM","CATEGORY 1 CAREER TECH FTE","CATEGORY 2 CAREER TECH FTE","CATEGORY 3 CAREER TECH FTE","CATEGORY 4 CAREER TECH FTE","CATEGORY 5 CAREER TECH FTE","CATEGORY 1 LEP ADM","CATEGORY 2 LEP ADM","CATEGORY 3 LEP ADM","K-3 FORMULA ADM","K-3 E-SCHOOL FORMULA ADM","PRESCHOOL AUTISM SCHOLARSHIP ADM","BRICK & MORTAR & STEM SCHOOL ADM","E-SCHOOL FORMULA ADM","NET FORMULA ADM","JON PETERSON SCHOLARSHIP ADM","AUTISM SCHOLARSHIP ADM","EDCHOICE SCHOLARSHIP ADM","ECONOMIC DISADVANTAGED ADM","ECONOMIC DISADVANTAGED RATIO","E-SCHOOL ECONOMIC DISADVANTAGED ADM","3 YEAR AVERAGE FEDERAL GROSS INCOME","3 YEAR AVERAGE TOTAL REAL VALUATION","3 YEAR AVERAGE AGRICULTURAL REAL VALUATION","3 YEAR AVERAGE ADJSUTED TOTAL VALUATION","3 YEAR AVERAGE TOTAL VALUATION","EXEMPT PROPERTY VALUATION","POTENTIAL PROPERTY VALUATION","MEDIAN INCOME TY11","STATE SHARE INDEX","ECONIMC DISADVANTAGED INDEX","INCOMING OPEN ENROLLMENT ADM","OUTGOING OPEN ENROLLMENT ADM","RESIDENT COMMUNITY SCHOOL ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 1 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 2 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 3 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 4 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 5 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 6 ADM"
"442.0","Manchester Local SD","Adams","1.0","3.0","244113.67","244113.67","0.0","0.0","23265.45","23265.45","899446.76","899446.76","0.0","0.0","50499.15","50499.15","240226.26","240226.26","38276.28","38276.28","7796.03","7796.03","1503623.6","1503623.6","1486081.69","0.0","1503623.6","28667.28","22439.44","51106.72","-65466.86","218904.25","-181938.35","0.0","0.0","-494466.9","-522967.86","1031762.46","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","849.83","849.83","0.0","0.0","849.83","12.0","97.5","6.0","2.0","12.0","4.0","24.93","6.75","0.0","0.0","0.0","0.0","0.0","0.0","255.2","3.0","0.0","1.0","24.23","824.85","0.0","0.0","0.0","811.93","0.955402845","19.23","60414429.0","103564910.0","13143223.0","293684173.0","293684173.0","15300270.0","308984443.0","24923.0","0.05","4.218075268","77.15","38.9","26.06","0.0","7.0","0.0","0.0","0.0","0.0"
"43489.0","Akron City SD","Summit","77.0","1.0","104654745.25","92927687.34","17964394.89","15951399.69","1467051.4","1302661.37","24452327.87","21712329.18","916488.97","813792.05","1187730.55","1054639.75","2976388.57","2642870.19","20401627.77","20401627.77","2842294.55","2842294.55","176863049.82","159649301.89","150258166.48","0.0","159649301.89","1640217.01","1393988.6","3034205.61","0.0","-7678987.1","-29134278.01","0.0","-4867801.62","-33070.94","-41714137.67","120969369.83","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","27164.51","27164.51","0.0","0.5","27164.11","428.41","3009.4","498.9","19.3","278.75","364.03","285.54","343.51","361.41","113.54","233.61","242.4","834.15","108.6","8755.09","116.23","2.23","2582.79","1133.12","23053.49","43.7","15.02","983.91","24697.89","0.909196963","901.52","2810142881.0","2448439403.0","606957.0","2540143056.0","2540143056.0","704050390.0","3244193447.0","24287.0","0.67056018","3.819945946","524.6","1824.58","3560.06","57.0","171.0","2.0","9.0","17.0","19.0"
"43497.0","Alliance City SD","Stark","76.0","1.0","13780830.86","11447635.64","3069270.74","2549620.81","187250.66","155547.76","1567442.29","1302062.87","10155.98","8436.5","151925.75","126203.61","1039953.55","863881.83","2276991.86","2276991.86","250391.59","250391.59","22334213.28","18980772.47","17864256.44","0.0","18980772.47","322659.81","85304.03","407963.84","-94085.88","-1416016.95","-863279.45","0.0","-38686.45","196478.65","-2215590.08","17173146.23","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","3153.15","3153.15","0.0","0.0","3153.15","41.8","362.28","22.56","0.0","28.0","36.0","30.23","29.31","3.48","0.0","23.67","1.0","9.2","2.0","1045.81","11.81","0.0","6.26","110.31","3031.14","0.0","1.0","6.0","2349.64","0.745172288","78.81","310197058.0","229486713.0","1010260.0","239906406.0","239906406.0","87105580.0","327011987.0","23491.0","0.760747858","2.565988207","112.0","356.11","116.42","22.0","38.0","2.0","0.0","0.0","0.0"
"43505.0","Ashland City SD","Ashland","3.0","1.0","9741943.77","7651228.78","1091318.84","857111.31","154235.3","121134.92","383050.55","300844.21","12442.9","9772.54","162530.25","127649.69","690679.32","542452.88","901287.25","901287.25","74066.81","74066.81","13211554.99","10585548.39","9962869.06","0.0","10585548.39","324293.94","38509.42","362803.36","-21359.85","-232291.05","-1190101.01","0.0","-15216.0","-135536.29","-1594504.2","9353847.55","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","3496.93","3496.93","0.0","91.1","3424.05","44.0","253.61","10.9","4.0","12.0","18.0","11.43","7.14","12.57","0.24","24.56","11.0","7.0","1.0","1057.24","14.44","0.0","95.97","83.15","3266.92","2.0","0.0","0.0","1571.92","0.449514288","46.9","500384579.0","437922093.0","18572980.0","454181913.0","454181913.0","93731660.0","547913573.0","28316.0","0.495239741","0.933744949","89.61","125.6","183.14","29.0","33.0","0.0","0.0","3.0","1.0"
"43513.0","Ashtabula Area City SD","Ashtabula","4.0","1.0","14135210.48","14135210.48","2854456.34","2854456.34","191662.0","191662.0","1760834.74","1760834.74","142053.99","142053.99","196460.95","196460.95","718162.59","718162.59","2731325.55","2731325.55","20642.72","20642.72","22750809.36","22750809.36","22953190.51","202381.15","22953190.51","567937.81","160069.13","728006.94","-23554.96","-2386089.54","-950201.6","0.0","-424796.99","-38475.95","-3823119.04","19858078.41","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","4177.64","4177.64","0.0","136.81","4068.19","79.8","468.93","83.0","1.0","21.0","60.98","0.0","0.0","1.47","0.0","22.02","28.0","151.6","29.8","1211.72","25.64","0.38","7.44","128.75","3866.48","30.4","2.36","35.0","2946.67","0.705343208","99.43","451160727.0","414870957.0","23321877.0","443774430.0","443774430.0","62470280.0","506244710.0","25084.0","0.604742449","2.299017315","29.72","458.92","128.47","12.0","77.0","1.0","0.0","6.0","5.0"
"43521.0","Athens City SD","Athens","5.0","1.0","5040631.08","5040631.08","0.0","0.0","97022.15","97022.15","189959.58","189959.58","30427.86","30427.86","117190.8","117190.8","980588.37","980588.37","860300.69","860300.69","37372.82","37372.82","7353493.35","7353493.35","7611524.99","258031.64","7611524.99","247759.94","33055.43","280815.37","-17129.06","1599082.65","-552342.96","0.0","-1750.0","-83518.77","944341.86","8836682.22","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","2461.84","2461.84","0.0","49.6","2422.16","36.7","227.19","33.2","2.0","28.1","27.03","12.16","0.0","14.53","0.0","10.83","22.0","40.0","8.0","757.32","18.27","0.0","2.25","74.15","2346.22","0.0","0.1","0.0","988.16","0.40139083","39.67","466395744.0","482050947.0","16945893.0","463646290.0","508059350.0","281186950.0","789246300.0","27223.0","0.362236369","0.744519639","399.2","116.15","72.96","15.0","20.0","1.0","0.0","0.0","10.0"
"43539.0","Barberton City SD","Summit","77.0","1.0","16082753.94","13889967.82","3489196.32","3013465.53","215478.92","186099.67","1517012.42","1310176.96","27775.37","23988.37","196880.2","170036.78","681346.97","588449.44","2705864.92","2705864.92","347952.16","347952.16","25264261.22","22236001.65","20928001.54","0.0","22236001.65","182289.55","117636.72","299926.27","-125752.3","-1112838.75","-969187.25","0.0","-200304.0","93279.61","-2314802.69","20221125.23","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","4078.04","4078.04","0.0","0.0","4078.04","84.0","479.22","54.48","6.83","21.71","43.02","47.05","37.33","17.27","13.37","30.03","10.0","22.0","1.0","1267.93","13.15","3.89","43.32","99.55","3941.29","2.0","6.6","0.0","2751.89","0.674807015","71.88","387316066.0","359357233.0","349323.0","369319253.0","369319253.0","46868800.0","416188053.0","25674.0","0.685811608","2.10426505","288.76","481.81","134.21","20.0","15.0","0.0","0.0","0.0","1.0"
"43547.0","Bay Village City SD","Cuyahoga","18.0","1.0","3261645.43","2989398.2","0.0","0.0","71491.37","65524.04","1315.72","1205.9","2626.75","2407.5","120194.45","110161.9","422469.39","387206.17","479663.89","479663.89","16554.79","16554.79","4375961.79","4052122.39","3813762.25","0.0","4052122.39","150098.96","61407.42","211506.38","-15999.56","-5745.0","-149433.01","0.0","-58266.0","-140215.04","-369658.61","3893970.16","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","2430.89","2468.79","75.8","0.0","2430.89","47.4","156.3","8.0","2.0","13.0","44.01","4.29","3.41","3.27","0.99","18.04","1.0","6.0","4.0","621.66","1.0","0.65","7.0","15.18","2407.65","2.0","1.46","0.0","187.5","0.075948137","4.0","718120353.0","490522690.0","0.0","497117246.0","497117246.0","35421950.0","532539197.0","54934.0","0.233488393","0.026654805","0.0","1.0","19.26","13.0","19.0","0.0","1.0","1.0","0.0"
"43554.0","Beachwood City SD","Cuyahoga","18.0","1.0","394468.94","369402.69","0.0","0.0","29603.03","27721.93","1747.33","1636.3","4248.75","3978.76","71236.8","66710.11","450350.1","421732.92","69433.49","69433.49","4579.96","4579.96","1025668.4","965196.16","908419.91","0.0","965196.16","32965.71","37126.86","70092.57","-9626.83","0.0","-66789.57","0.0","-240607.5","451368.88","134344.98","1169633.71","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","1371.36","1371.36","0.0","0.0","1371.36","15.0","104.98","23.1","2.7","6.0","25.48","7.2","7.63","0.0","12.14","0.0","34.0","24.2","9.0","320.9","0.0","1.9","4.0","3.0","1345.36","20.0","1.9","0.0","138.27","0.100826916","0.0","646749749.0","703566763.0","0.0","714116563.0","714116563.0","93253820.0","807370383.0","52448.0","0.05","0.046977968","0.0","0.0","6.36","2.0","5.0","0.0","0.0","1.0","0.0"
"43562.0","Bedford City SD","Cuyahoga","18.0","1.0","7137778.45","3264360.56","244934.2","112017.14","136438.89","62398.37","1206954.19","551983.18","24368.62","11144.63","172601.35","78936.75","928917.44","424827.06","1344743.62","1344743.62","114821.21","114821.21","11311557.97","5965232.52","5614336.5","0.0","5965232.52","115381.74","350896.92","466278.66","-22350.45","-180448.85","-1390124.15","0.0","-192166.0","-199872.76","-1984962.21","4446548.97","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","3663.47","3664.27","1.6","1.5","3662.27","61.0","385.53","59.4","4.0","28.3","54.97","27.84","38.21","4.61","6.33","0.4","12.0","45.2","4.0","1083.32","20.67","1.0","88.88","132.02","3461.59","2.0","1.0","0.0","2381.64","0.649963021","83.27","540794087.0","670388533.0","0.0","705941243.0","705941243.0","87854890.0","793796133.0","29699.0","0.33915959","1.952174169","0.0","30.23","203.26","2.0","23.0","0.0","0.0","0.0","0.0"
"43570.0","Bellaire Local SD","Belmont","7.0","1.0","5634213.93","4991756.19","1383446.79","1225695.22","79393.13","70340.1","288299.11","255424.96","2202.54","1951.39","69579.0","61645.05","2551894.37","2260907.14","881431.59","881431.59","8334.75","8334.75","10898795.21","9757486.39","9183516.59","0.0","9757486.39","203734.22","0.0","203734.22","-120628.83","-670950.44","-149300.5","0.0","-29887.0","53742.42","-917024.35","9044196.26","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","1381.69","1381.69","0.0","57.36","1335.8","45.0","146.69","10.0","0.0","7.0","15.0","1.1","1.16","0.0","0.0","0.28","2.0","0.0","0.0","448.63","2.03","0.0","0.0","15.39","1318.91","1.5","0.0","0.0","765.49","0.554024419","9.89","155545270.0","101025773.0","11652977.0","112218120.0","112218120.0","26711320.0","138929440.0","25895.0","0.734178836","1.418401163","96.2","209.8","15.5","17.0","9.0","0.0","0.0","0.0","6.0"
"43588.0","Bellefontaine City SD","Logan","46.0","1.0","9388192.17","8626478.62","1790757.81","1645464.18","130995.16","120366.83","468661.21","430636.25","6367.26","5850.65","126582.85","116312.52","635571.08","584003.85","1348680.67","1348680.67","41190.19","41190.19","13936998.4","12918983.76","12159043.54","0.0","12918983.76","300046.77","31239.71","331286.48","-16824.08","-269247.14","-402494.26","0.0","0.0","-311466.46","-1000031.94","12250238.3","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","2659.46","2659.46","0.0","76.11","2598.57","42.0","243.61","18.8","0.0","11.6","32.3","3.07","0.44","0.0","7.89","24.79","0.0","3.0","9.0","804.8","9.0","0.0","1.0","64.82","2533.0","0.0","0.0","0.0","1404.38","0.528069608","52.36","288547376.0","261033437.0","7091057.0","270109173.0","270109173.0","42642270.0","312751443.0","25978.0","0.628865135","1.288616272","171.13","217.89","65.89","20.0","32.0","0.0","0.0","1.0","3.0"
"43596.0","Bellevue City SD","Huron","39.0","1.0","6409077.27","6232933.13","1168194.41","1136088.29","91355.5","88844.73","190355.01","185123.38","605.07","588.44","100651.1","97884.86","598568.44","582117.66","869373.91","869373.91","80762.94","80762.94","9508943.65","9273717.34","8728204.55","0.0","9273717.34","128279.36","22284.72","150564.08","-388457.6","-130270.98","-423613.74","0.0","-52500.0","-10254.66","-1005096.98","8419184.44","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","2116.2","2116.2","0.0","52.47","2074.22","44.0","170.18","17.5","3.0","13.8","19.5","20.22","0.0","2.64","0.22","31.06","0.0","1.0","0.0","602.49","6.29","0.0","23.88","35.05","2020.26","0.0","1.0","0.0","889.94","0.420536811","24.05","270023437.0","244056760.0","37121670.0","252151050.0","252151050.0","29672550.0","281823600.0","30981.0","0.537836977","0.817239405","68.37","90.37","61.8","11.0","10.0","0.0","0.0","1.0","2.0"
"43604.0","Belpre City SD","Washington","84.0","1.0","3104464.1","1763425.35","282270.99","160338.08","51237.98","29104.65","252426.7","143385.66","0.0","0.0","59082.25","33560.43","225660.48","128181.68","444026.71","444026.71","2326.24","2326.24","4421495.45","2704348.8","2545269.46","0.0","2704348.8","82174.87","26453.13","108628.0","-422796.42","-198908.76","-276398.11","0.0","-17500.0","-10008.41","-925611.7","1887365.1","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","1132.37","1132.37","0.0","57.4","1086.45","27.0","86.24","12.12","1.0","5.0","13.0","0.6","0.34","0.0","0.0","0.06","0.0","0.0","0.0","349.14","3.34","0.0","0.0","39.43","1047.02","0.0","0.0","0.0","646.63","0.571041267","23.89","164150738.0","144241097.0","4668943.0","151201293.0","151201293.0","13031920.0","164233213.0","26233.0","0.497378336","1.506871619","93.76","123.0","39.47","12.0","6.0","0.0","0.0","0.0","0.0"
