"School IRN","School Name","Street Address","City","State","Postal Code","Virtual","Avg Grade","Public Funding","% Spent in Classroom","Avg Teacher Experience"
"143636","World Collegiate Preparatory School","1465 Oakland Park Ave","Columbus","OH","43224-3509","Site Based","F","803001.05","82.34","1"
"009122","Columbus Collegiate Academy","1469 E Main St","Columbus","OH","43205-2152","Site Based","D","1203746.56","80.44","0"
"149336","Southwest Licking Digital Acad","927-A","Pataskala","OH","43062","Site Based","NR","205339.14","75.30","--"
"011390","Bella Academy of Excellence","19114 Bella Dr","Cleveland","OH","44119-3007","Site Based","F","2871653.87","50.00","3"
"009909","Constellation Schools: Mansfield Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","F","924689.90","93.39","0"
"142968","Hope Academy Northcoast","4310 E 71st St","Cleveland","OH","44105-5759","Site Based","F","2148633.38","97.45","3"
"012557","Woodland Academy","10615 Lamontier Ave","Cleveland","OH","44104-4847","Site Based","F","2948070.49","70.49","1"
"012556","Pearl Academy","4850 Pearl Rd","Cleveland","OH","44109-5135","Site Based","F","1971721.76","85.45","1"
"012558","Global Village Academy","5720 State Rd","Parma","OH","44134-2564","Site Based","A","606001.32","86.68","7"
"007984","Youngstown Academy of Excellence","1408 Rigby St","Youngstown","OH","44506-1617","Site Based","F","1639579.27","89.36","5"
"133348","Richard Allen Preparatory","627 Salem Ave","Dayton","OH","45406-5822","Site Based","NR","1214280.62","98.70","6"
"143172","International Acad Of Columbus","1201 Shrock Ct","Columbus","OH","43229","Site Based","D","1518294.76","91.58","1"
"133520","Citizens Academy","10118 Hampden Ave","Cleveland","OH","44108-3538","Site Based","A","3076761.67","64.80","0"
"143198","Great Western Academy","310 N Wilson Rd","Columbus","OH","43204-6221","Site Based","F","5514498.98","82.57","6"
"000318","Menlo Park Academy","14440 Triskett Rd","Cleveland","OH","44111-2263","Site Based","A","1986394.72","89.18","5"
"000319","Constellation Schools: Madison Community Elementary","2015 W 95th St","Cleveland","OH","44102-3727","Site Based","F","2208293.57","90.21","0"
"000316","Constellation Schools: Westpark Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","F","1515349.14","90.17","1"
"000311","Bridges Community Academy","190 St Francis Ave","Tiffin","OH","44883-3475","Site Based","A","1008099.06","91.10","0"
"151142","Lorain High School Digital","1800 West 40th Street","Lorain","OH","44053","Site Based","F","893013.30","90.73","0"
"000222","Wildwood Environmental Academy","1546 Dartford Rd","Maumee","OH","43537-1374","Site Based","F","2307241.16","89.84","4"
"011948","Imagine Cleveland Academy","3443 E 93rd St","Cleveland","OH","44104-5252","Site Based","F","1566247.80","97.87","2"
"011947","Imagine Akron Academy","1585 Frederick Blvd","Akron","OH","44320-4000","Site Based","NR","751918.57","97.32","3"
"011381","Greater Summit County Early Learning Center","2141 Pickle Rd","Akron","OH","44312-4221","Site Based","A","597407.78","97.61","0"
"000138","Pathway School of Discovery","173 Avondale Dr","Dayton","OH","45404-2123","Site Based","D","4808343.80","92.68","6"
"000139","Alliance Academy of Cincinnati","1712 Duck Creek Rd","Cincinnati","OH","45207-1644","Site Based","F","2193061.15","90.49","3"
"008064","Academy of Arts and Sciences","201 W Erie Ave","Lorain","OH","44052-1641","Site Based","D","1699565.63","82.27","3"
"008061","Arts and Science Preparatory Academy","2711 Church Ave","Cleveland","OH","44113-2909","Site Based","F","1182824.53","84.81","2"
"007995","Cleveland Arts and Social Sciences Academy","10701 Shaker Blvd","Cleveland","OH","44104-3752","Site Based","C","2500380.15","86.08","2"
"007999","Charles School at Ohio Dominican University","3950 Indianola Ave","Columbus","OH","43214-3158","Site Based","A","2341886.39","96.85","2"
"012010","Cleveland College Preparatory School","4906 Fleet Ave","Cleveland","OH","44105-3328","Site Based","F","2082622.22","84.90","3"
"012011","Columbus Performance Academy","2 Easton Oval Ste 525","Columbus","OH","43219-7008","Site Based","F","1148948.97","100.00","0"
"013059","West Carrollton Secondary Academy","3400 W Alex Bell Rd","West","OH","45449-2819","Site Based","NR","273024.24","82.54","--"
"000417","Buckeye On-Line School for Success","119 E Fifth St","East Liverpool","OH","43920-3030","Site Based","F","7864039.31","89.40","12"
"143503","Lake Erie Academy","2740 W Central Ave","Toledo","OH","43606-3452","Site Based","F","2047281.74","83.64","6"
"000305","Summit Academy Community School-Warren","2106 Arbor Ave SE","Warren","OH","44484-5225","Site Based","F","1627302.14","96.95","4"
"000304","Summit Academy Community School-Toledo","1853 South Ave","Toledo","OH","43609-2086","Site Based","F","1689371.58","97.45","1"
"000306","Summit Academy Community School - Cincinnati","1660 Sternblock Ln","Cincinnati","OH","45237-3805","Site Based","F","1791479.27","97.01","1"
"000301","Summit Academy Secondary - Lorain","1051 E St","Lorain","OH","44052-2134","Site Based","F","980954.72","96.93","3"
"000300","Summit Academy Secondary - Canton","2400 Cleveland Ave NW","Canton","OH","44709-3613","Site Based","F","1097227.06","96.80","1"
"000303","Summit Academy Secondary - Youngstown","1400 Oak Hill Ave","Youngstown","OH","44507-1018","Site Based","F","3464038.75","96.85","5"
"000302","Summit Academy Community School-Parma","5868 Stumph Rd","Parma","OH","44130-1736","Site Based","F","3331564.81","96.84","4"
"000781","Cincinnati Speech & Reading Intervention Center","1812 Central Pkwy","Cincinnati","OH","45214-2304","Site Based","F","1585534.52","85.10","0"
"000780","Midnimo Cross Cultural Community School","1500 W 3rd Ave Ste 125","Columbus","OH","43212-2883","Site Based","F","527873.92","81.56","3"
"000784","Academy of Columbus","4656 Heaton Rd","Columbus","OH","43229-6612","Site Based","F","2268489.73","87.05","1"
"000236","Ohio Connections Academy, Inc","3740 Euclid Ave Ste 101","Cleveland","OH","44115-2229","Site Based","D","19175763.86","82.70","7"
"011972","Graham Expeditionary Middle School","3950 Indianola Ave","Columbus","OH","43214-3167","Site Based","F","1110320.61","95.21","4"
"011976","Horizon Science Academy Dayton Downtown","121 S Monmouth St","Dayton","OH","45403-2127","Site Based","F","1524549.31","90.76","3"
"142901","Life Skills Center  of Canton","1100 Cleveland Ave NW","Canton","OH","44702-1816","Site Based","D","871752.74","82.84","9"
"008278","Noble Academy-Cleveland","1200 E 200th St","Euclid","OH","44117-1111","Site Based","D","2015913.59","89.14","2"
"012951","Columbus Collegiate Academy - West","300 Dana Ave","Columbus","OH","43223-1310","Site Based","F","478429.56","75.84","0"
"012009","Zenith Academy East","2261 S Hamilton Rd","Columbus","OH","43232-4301","Site Based","F","1577856.66","95.77","0"
"012002","College Hill Leadership Academy","745 Derby Ave","Cincinnati","OH","45232-1836","Site Based","NR","570069.28","79.63","0"
"134148","Aurora Academy","541 Utah St","Toledo","OH","43605-2299","Site Based","F","1208837.21","82.02","0"
"134098","Constellation Schools: Old Brooklyn Community Elementary","4430 State Rd","Cleveland","OH","44109-4705","Site Based","A","2252574.78","90.11","0"
"013198","Brookwood Academy","2685 E Livingston Ave","Columbus","OH","43209-2961","Site Based","F","2666840.27","92.26","0"
"013199","Nexus Academy of Cleveland","3615 Superior Ave E Bldg 44","Cleveland","OH","44114-4138","Site Based","F","304942.88","83.18","24"
"013195","Academy of Educational Excellence","4747 Heatherdowns Blvd.","Toledo","OH","43614","Site Based","NR","375738.43","82.04","0"
"133322","Summit Academy Community School Alternative Learners-Lorain","2140 E 36th St","Lorain","OH","44055-2756","Site Based","F","2410076.39","97.20","4"
"133256","Constellation Schools: Parma Community","7667 Day Dr Fl 1ST","Parma","OH","44129-5603","Site Based","C","6582158.92","90.16","1"
"000938","Premier Academy of Ohio","1555 Elaine Rd","Columbus","OH","43227-2347","Site Based","F","830670.10","80.09","5"
"000420","Columbus Bilingual Academy","35 Midland Ave","Columbus","OH","43223-1064","Site Based","F","715144.12","85.01","0"
"000930","Cleveland Entrepreneurship Preparatory School","1417 E 36th St Fl 2","Cleveland","OH","44114-4116","Site Based","D","1798413.85","79.23","5"
"143537","Virtual Community School Of Ohio","4480 Refugee Rd","Columbus","OH","43232-4459","Site Based","F","7846712.72","87.63","12"
"132787","Springfield Academy of Excellence","623 S Center St","Springfield","OH","45506-2209","Site Based","F","1786228.75","90.30","4"
"000338","Horizon Science Academy Toledo","2600 W Sylvania Ave","Toledo","OH","43613-4300","Site Based","F","3652477.52","89.78","4"
"133819","Hope Academy Lincoln Park","4215 Robert Ave","Cleveland","OH","44109-1255","Site Based","F","1694153.04","96.44","5"
"151167","Ridgedale Community School","3103 Hillman Ford Rd","Morral","OH","43337-9302","Site Based","F","277631.06","86.32","0"
"011967","Richland Academy School of Excellence","75 N Walnut St","Mansfield","OH","44902-1211","Site Based","D","1080752.64","82.31","0"
"010182","Performance Academy Eastland","2220 S Hamilton Rd","Columbus","OH","43232-4304","Site Based","F","1723577.95","100.00","0"
"010180","Mount Auburn International Academy","244 Southern Ave","Cincinnati","OH","45219-3023","Site Based","F","3259616.93","93.63","1"
"011291","Village Preparatory School","1415 E 36th St Fl 2","Cleveland","OH","44114-4116","Site Based","A","2577424.23","82.74","4"
"012852","Citizens Academy East","12523 Woodside Ave","Cleveland","OH","44108-2422","Site Based","NR","1074594.32","80.53","4"
"012030","Near West Intergenerational School","3805 Terrett Ave","Cleveland","OH","44113-2847","Site Based","A","819336.91","83.40","4"
"012031","Entrepreneurship Preparatory School - Woodland Hills Campus","9201 Crane Ave","Cleveland","OH","44105-1627","Site Based","D","559971.25","76.50","4"
"012033","Foxfire Intermediate School","2805 Pinkerton Ln","Zanesville","OH","43701-8593","Site Based","F","640720.76","90.20","4"
"012105","Southside Academy","1833 Market St","Youngstown","OH","44507-1137","Site Based","F","2280873.58","80.12","5"
"149062","Urbana Community School","711 Wood St","Urbana","OH","43078-1498","Site Based","NR","267998.59","99.78","242"
"134221","Hope Academy Brown St Campus","2199 5th St SW","Akron","OH","44314-2405","Site Based","F","2102597.70","96.33","8"
"013180","BAJIM Village Academy","PO Box 13165","Columbus","OH","43213-0165","Site Based","NR","136926.22","76.80","0"
"133330","T.C.P. World Academy","6000 Ridge Ave","Cincinnati","OH","45213-1624","Site Based","B","3052430.03","91.70","8"
"143529","North Dayton School Of Science & Discovery","3901 Turner Rd","Dayton","OH","45415-3654","Site Based","F","3742054.88","91.59","8"
"000321","Constellation Schools: Old Brooklyn Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","D","1326606.45","91.50","0"
"000320","Constellation Schools: Lorain Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","D","837667.51","94.58","0"
"151175","West Central Learning Academy II","522 W North St","Lima","OH","45801-4215","Site Based","NR","370993.03","82.40","31"
"143412","Crittenton Community School","1418 E Broad St","Columbus","OH","43205-1505","Site Based","NR","342113.89","85.96","5"
"010205","L. Hollingworth School for Talented and Gifted","824 6th St","Toledo","OH","43605-1704","Site Based","F","1511839.71","79.73","4"
"012026","Constellation Schools: Collinwood Village Academy","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","NR","606120.02","90.96","0"
"012025","Constellation Schools: Stockyard Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","F","602794.37","92.57","1"
"012029","Citizens Leadership Academy","9711 Lamont Ave","Cleveland","OH","44106-4124","Site Based","A","1376452.12","82.18","4"
"134122","Autism Model School","3020 Tremainsville Rd","Toledo","OH","43613-1901","Site Based","NR","3257794.42","89.38","1"
"133306","Summit Academy Community School for Alternative Learn-Canton","1620 Market Ave S","Canton","OH","44707-3778","Site Based","F","1640463.52","96.98","3"
"013082","The Haley School","4556 Warrensville Center Rd","North Randall","OH","44128-4134","Site Based","D","561527.23","80.64","0"
"013083","Bio-Med Science Academy","4209 State Route 44","Rootstown","OH","44272-9698","Site Based","NR","417653.37","89.49","0"
"013240","Cincinnati State STEM Academy","3520 Central Pkwy Ste 143 Mezz","Cincinnati","OH","45223-2612","Site Based","F","1042676.16","86.42","5"
"143644","Sciotoville","224 Marshall St","Portsmouth","OH","45662-5549","Site Based","F","2089807.38","91.37","5"
"143396","Alternative Education Academy","1830 Adams St","Toledo","OH","43624-1428","Site Based","F","13440600.33","79.39","5"
"000770","Maritime Academy of Toledo, The","803 Water St","Toledo","OH","43604-1831","Site Based","F","1629659.55","85.87","6"
"000777","Educational Academy at Linden","1500 W 3rd Ave","Columbus","OH","43212-2843","Site Based","F","626822.67","80.52","5"
"000779","Educational Academy for Boys & Girls","1500 W 3rd Ave","Columbus","OH","43212-2843","Site Based","F","695332.44","86.18","3"
"151233","Lakewood Digital Academy","PO Box 70","Hebron","OH","43025-0070","Site Based","NR","301420.64","62.76","18"
"012052","Imagine on Superior","1500 Superior Ave NE","Canton","OH","44705-1956","Site Based","F","1325406.75","97.87","4"
"012054","North Central Academy","928 W Market St Ste B","Tiffin","OH","44883-2529","Site Based","F","781071.15","87.17","12"
"012924","DECA PREP","200 Homewood Ave","Dayton","OH","45405-4328","Site Based","D","1727903.30","94.09","2"
"132993","Constellation Schools: Westpark Community Elementary","16210 Lorain Ave","Cleveland","OH","44111-5521","Site Based","A","2453317.73","90.92","1"
"000585","FCI Academy","2177 Mock Rd","Columbus","OH","43219-1258","Site Based","F","2936207.72","89.83","1"
"143297","The Autism Academy Of Learning","219 Page St","Toledo","OH","43620-1430","Site Based","NR","1575197.54","88.72","2"
"143479","Constellation Schools: Puritas Community Elementary","15204 Puritas Ave","Cleveland","OH","44135-2716","Site Based","A","1426127.06","89.22","1"
"000909","V L T Academy","1100 Sycamore St","Cincinnati","OH","45202-1321","Site Based","F","5266300.28","91.13","5"
"011487","Falcon Academy of Creative Arts","2900 State Route 43","Mogadore","OH","44260-9715","Site Based","B","1047959.67","92.10","7"
"012045","Patriot Preparatory Academy","4938 Beatrice Dr","Columbus","OH","43227-2113","Site Based","D","3571636.20","89.36","9"
"012683","Accelerated Achievement Academy of North Cincinnati","2712 Vine St","Cincinnati","OH","45219-2019","Site Based","F","738788.60","86.63","6"
"012684","Broadway Academy","3398 E 55th St","Cleveland","OH","44127-1691","Site Based","F","2578565.98","84.03","5"
"134213","Hope Academy University","88 Kent St","Akron","OH","44305-2544","Site Based","F","2695017.00","97.03","1"
"011468","Columbus Bilingual Academy-North","3360 Kohr Blvd","Columbus","OH","43224-3051","Site Based","F","962793.63","84.63","0"
"134072","Youngstown Community School","50 Essex St","Youngstown","OH","44502-1838","Site Based","C","2483350.91","92.24","13"
"133678","Riverside Academy","3280 River Rd","Cincinnati","OH","45204-1214","Site Based","F","2151639.58","82.77","6"
"133454","Dayton Leadership Academies-Dayton View Campus","1416 W Riverview Ave","Dayton","OH","45402-6217","Site Based","F","2860141.60","90.50","2"
"133587","Summit Academy Akron Elementary School","2503 Leland Ave","Akron","OH","44312-2426","Site Based","F","1979395.90","96.97","8"
"013226","Life Skills High School of Cleveland","4600 Carnegie Ave","Cleveland","OH","44103-4371","Site Based","F","905420.98","91.44","0"
"013132","Lake Erie College Preparatory School","14405 Saint Clair Ave","Cleveland","OH","44110-3433","Site Based","F","1975345.66","87.65","3"
"000808","Horizon Science Academy-Dayton","4751 sue ann blvd","Dayton","OH","45415","Site Based","F","1146963.73","86.48","6"
"000804","Horizon Science Academy-Cincinnati","1055 Laidlaw Ave","Cincinnati","OH","45237-5005","Site Based","F","2962331.75","90.19","5"
"000576","King Academy Community School","933 Bank St","Cincinnati","OH","45214-2103","Site Based","C","729086.43","82.38","7"
"000577","Emerson Academy","501 Hickory St","Dayton","OH","45410-1232","Site Based","F","4964702.21","93.19","7"
"000575","Hope Academy Northwest Campus","1441 W 116th St","Cleveland","OH","44102-2301","Site Based","F","3031624.45","76.89","3"
"151035","Pleasant Community Digital","1107 Owens Rd W","Marion","OH","43302-8421","Site Based","NR","359819.13","97.83","11"
"011324","Hardin Community School","1211 W Lima St Ste A","Kenton","OH","43326-8846","Site Based","D","248062.71","90.68","0"
"000623","Summit Academy-Youngstown","144 N Schenley Ave","Youngstown","OH","44509-2041","Site Based","F","2701250.58","99.21","3"
"000621","Summit Academy Transition High School Dayton","1407 E 3rd St","Dayton","OH","45403-1818","Site Based","F","1339446.65","96.76","4"
"000629","Summit Academy Community School - Painesville","268 N State St","Painesville","OH","44077-4009","Site Based","F","1364595.54","96.90","3"
"000396","Mansfield Elective Academy","445 Bowman St","Mansfield","OH","44903-1201","Site Based","NR","258475.87","87.39","23"
"012078","Quest Community School","12000 Snow Rd Ste 415","Parma","OH","44130-9313","Site Based","F","344608.74","62.75","0"
"012671","Constellation Schools: Eastside Arts Academy","6700 Lansing Ave","Cleveland","OH","44105-3756","Site Based","D","606899.02","90.97","0"
"011470","A.B. Graham Academy","370 E Main St","Saint Paris","OH","43072-9200","Site Based","D","1563023.78","91.89","--"
"012090","Academy of New Media Middle","2202 S Hamilton Rd","Columbus","OH","43232-4304","Site Based","F","554218.66","86.20","3"
"133660","Horizon Science Academy Columbus","1070 Morse Rd","Columbus","OH","43229-6290","Site Based","A","2689178.87","88.46","7"
"013233","Southern Ohio Academy","522 Glenwood Ave","New Boston","OH","45662-5505","Site Based","NR","479044.78","50.00","--"
"013232","A+ Children's Academy","100 Obetz Rd","Columbus","OH","43207-4031","Site Based","NR","538380.36","88.33","7"
"008065","Imani Learning Academy","728 Parkside Blvd","Toledo","OH","43607-3858","Site Based","F","903131.34","92.23","1"
